article_name,fincen_id,fraud_type,page_number,x0_norm,y0_norm,x1_norm,y1_norm
advis11.pdf,,money_laundering,2,0.31431372648750255,0.2228331710353042,0.9039803299249387,0.5436513496167732
advis11.pdf,,trade_based_money_laundering,2,0.31431372648750255,0.2228331710353042,0.9039803299249387,0.5436513496167732
advis11.pdf,,bulk_cash_smuggling,2,0.31431372648750255,0.2228331710353042,0.9039803299249387,0.5436513496167732
advis11.pdf,,correspondent_banking,2,0.31431372648750255,0.2228331710353042,0.9039803299249387,0.5436513496167732
advis12.pdf,,money_laundering,2,0.3023529302060994,0.5828333382654671,0.9078037037568933,0.6945605807834201
advis12.pdf,,bulk_cash_smuggling,2,0.3023529302060994,0.5828333382654671,0.9078037037568933,0.6945605807834201
advis12.pdf,,virtual_assets_crypto,2,0.3023529302060994,0.5828333382654671,0.9078037037568933,0.6945605807834201
advis12.pdf,,money_laundering,3,0.30470587537179583,0.508591045032848,0.8959799373851103,0.5836516100950916
advis12.pdf,,trade_based_money_laundering,3,0.30470587537179583,0.508591045032848,0.8959799373851103,0.5836516100950916
advis12.pdf,,bulk_cash_smuggling,3,0.30470587537179583,0.508591045032848,0.8959799373851103,0.5836516100950916
advis12.pdf,,virtual_assets_crypto,3,0.30470587537179583,0.508591045032848,0.8959799373851103,0.5836516100950916
advis13.pdf,,money_laundering,1,0.29176470189312703,0.25709088643391925,0.8560982498468137,0.3833334181043837
advis13.pdf,,trade_based_money_laundering,1,0.29176470189312703,0.25709088643391925,0.8560982498468137,0.3833334181043837
advis13.pdf,,correspondent_banking,1,0.29176470189312703,0.25709088643391925,0.8560982498468137,0.3833334181043837
advis13.pdf,,money_laundering,1,0.35058823130489175,0.7560606677122791,0.8558433383118873,0.8621211967082939
advis13.pdf,,correspondent_banking,1,0.35058823130489175,0.7560606677122791,0.8558433383118873,0.8621211967082939
advis13.pdf,,trade_based_money_laundering,1,0.35058823130489175,0.7560606677122791,0.8558433383118873,0.8621211967082939
advis13.pdf,,money_laundering,3,0.30470587537179583,0.3763639276677912,0.8805685604319853,0.7006062209004104
advis13.pdf,,trade_based_money_laundering,3,0.30470587537179583,0.3763639276677912,0.8805685604319853,0.7006062209004104
advis13.pdf,,bulk_cash_smuggling,3,0.30470587537179583,0.3763639276677912,0.8805685604319853,0.7006062209004104
advis13.pdf,,correspondent_banking,3,0.30470587537179583,0.3763639276677912,0.8805685604319853,0.7006062209004104
advis14.pdf,,money_laundering,1,0.28999999301885465,0.25833334103979244,0.8394113179125817,0.3825758731726444
advis14.pdf,,sanctions_evasion,1,0.28999999301885465,0.25833334103979244,0.8394113179125817,0.3825758731726444
advis14.pdf,,trade_based_money_laundering,1,0.28999999301885465,0.25833334103979244,0.8394113179125817,0.3825758731726444
advis14.pdf,,correspondent_banking,1,0.28999999301885465,0.25833334103979244,0.8394113179125817,0.3825758731726444
advis14.pdf,,money_laundering,3,0.3047059003044577,0.27090928048798535,0.8747641370187398,0.6133334997928503
advis14.pdf,,trade_based_money_laundering,3,0.3047059003044577,0.27090928048798535,0.8747641370187398,0.6133334997928503
advis14.pdf,,bulk_cash_smuggling,3,0.3047059003044577,0.27090928048798535,0.8747641370187398,0.6133334997928503
advis14.pdf,,correspondent_banking,3,0.3047059003044577,0.27090928048798535,0.8747641370187398,0.6133334997928503
advis16.pdf,,money_laundering,2,0.30470587537179583,0.23030317672575362,0.8620586519926982,0.409091217349274
advis16.pdf,,trade_based_money_laundering,2,0.30470587537179583,0.23030317672575362,0.8620586519926982,0.409091217349274
advis16.pdf,,bulk_cash_smuggling,2,0.30470587537179583,0.23030317672575362,0.8620586519926982,0.409091217349274
advis16.pdf,,money_laundering,2,0.30470587537179583,0.6242426477297388,0.8586666132110397,0.8575759271178582
advis16.pdf,,trade_based_money_laundering,2,0.30470587537179583,0.6242426477297388,0.8586666132110397,0.8575759271178582
advis16.pdf,,correspondent_banking,2,0.30470587537179583,0.6242426477297388,0.8586666132110397,0.8575759271178582
advis17.pdf,,money_laundering,1,0.29000001795151653,0.2606060528996015,0.8528240926904616,0.38484858503245345
advis17.pdf,,trade_based_money_laundering,1,0.29000001795151653,0.2606060528996015,0.8528240926904616,0.38484858503245345
advis17.pdf,,correspondent_banking,1,0.29000001795151653,0.2606060528996015,0.8528240926904616,0.38484858503245345
advis17.pdf,,money_laundering,2,0.3125490176132302,0.21484856653695156,0.8699408637152778,0.5389395819769965
advis17.pdf,,trade_based_money_laundering,2,0.3125490176132302,0.21484856653695156,0.8699408637152778,0.5389395819769965
advis17.pdf,,bulk_cash_smuggling,2,0.3125490176132302,0.21484856653695156,0.8699408637152778,0.5389395819769965
advis17.pdf,,correspondent_banking,2,0.3125490176132302,0.21484856653695156,0.8699408637152778,0.5389395819769965
advis18.pdf,,correspondent_banking,2,0.3341176400776782,0.3136363559299045,0.8394510107102737,0.4569696368593158
advis18.pdf,,money_laundering,2,0.3341176400776782,0.3136363559299045,0.8394510107102737,0.4569696368593158
advis18.pdf,,trade_based_money_laundering,2,0.3341176400776782,0.3136363559299045,0.8394510107102737,0.4569696368593158
advis18.pdf,,money_laundering,2,0.3341176400776782,0.47530303338561397,0.806627510419858,0.5268181694878472
advis18.pdf,,human_trafficking,2,0.3341176400776782,0.47530303338561397,0.806627510419858,0.5268181694878472
advis18.pdf,,trade_based_money_laundering,2,0.3341176400776782,0.47530303338561397,0.806627510419858,0.5268181694878472
advis18.pdf,,bulk_cash_smuggling,2,0.3341176400776782,0.47530303338561397,0.806627510419858,0.5268181694878472
