article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 329.280029296875, 505.6679992675781, 370.08001708984375]","[0.30470587537179583, 0.41575761274857953, 0.8262549007640165, 0.4672727488508128]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 329.280029296875, 505.6679992675781, 370.08001708984375]","[0.30470587537179583, 0.41575761274857953, 0.8262549007640165, 0.4672727488508128]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 548.4000244140625, 533.423583984375, 632.4000244140625]","[0.30470587537179583, 0.6924242732500789, 0.8716071633731618, 0.798484879310685]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,Money Laundering,2,"[186.47999572753906, 548.4000244140625, 533.423583984375, 632.4000244140625]","[0.30470587537179583, 0.6924242732500789, 0.8716071633731618, 0.798484879310685]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 548.4000244140625, 533.423583984375, 632.4000244140625]","[0.30470587537179583, 0.6924242732500789, 0.8716071633731618, 0.798484879310685]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 548.4000244140625, 533.423583984375, 632.4000244140625]","[0.30470587537179583, 0.6924242732500789, 0.8716071633731618, 0.798484879310685]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47998046875, 646.0799560546875, 519.4678344726562, 672.47998046875]","[0.304705850439134, 0.8157575202710701, 0.8488036510991115, 0.84909088443024]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 98.8799819946289, 528.7799072265625, 283.68023681640625]","[0.30470587537179583, 0.12484846211443043, 0.864019456252553, 0.35818211719243215]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 98.8799819946289, 528.7799072265625, 283.68023681640625]","[0.30470587537179583, 0.12484846211443043, 0.864019456252553, 0.35818211719243215]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 98.8799819946289, 528.7799072265625, 283.68023681640625]","[0.30470587537179583, 0.12484846211443043, 0.864019456252553, 0.35818211719243215]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 98.8799819946289, 528.7799072265625, 283.68023681640625]","[0.30470587537179583, 0.12484846211443043, 0.864019456252553, 0.35818211719243215]",612.0,792.0
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 298.0802307128906, 538.907958984375, 554.880126953125]","[0.30470587537179583, 0.3763639276677912, 0.8805685604319853, 0.7006062209004104]",612.0,792.0
